sr.no,transaction_id,date,customer_id,gender,age,product_category,quantity,price_per_unit,total_amount,year,month,month_name,day
0,1,24-11-2023,CUST001,Male,34,Beauty,3,50,150,2023,11,November,24
1,2,27-02-2023,CUST002,Female,26,Clothing,2,500,1000,2023,2,February,27
2,3,13-01-2023,CUST003,Male,50,Electronics,1,30,30,2023,1,January,13
3,4,21-05-2023,CUST004,Male,37,Clothing,1,500,500,2023,5,May,21
4,5,06-05-2023,CUST005,Male,30,Beauty,2,50,100,2023,5,May,6
5,6,25-04-2023,CUST006,Female,45,Beauty,1,30,30,2023,4,April,25
6,7,13-03-2023,CUST007,Male,46,Clothing,2,25,50,2023,3,March,13
7,8,22-02-2023,CUST008,Male,30,Electronics,4,25,100,2023,2,February,22
8,9,13-12-2023,CUST009,Male,63,Electronics,2,300,600,2023,12,December,13
9,10,07-10-2023,CUST010,Female,52,Clothing,4,50,200,2023,10,October,7
10,11,14-02-2023,CUST011,Male,23,Clothing,2,50,100,2023,2,February,14
11,12,30-10-2023,CUST012,Male,35,Beauty,3,25,75,2023,10,October,30
12,13,05-08-2023,CUST013,Male,22,Electronics,3,500,1500,2023,8,August,5
13,14,17-01-2023,CUST014,Male,64,Clothing,4,30,120,2023,1,January,17
14,15,16-01-2023,CUST015,Female,42,Electronics,4,500,2000,2023,1,January,16
15,16,17-02-2023,CUST016,Male,19,Clothing,3,500,1500,2023,2,February,17
16,17,22-04-2023,CUST017,Female,27,Clothing,4,25,100,2023,4,April,22
17,18,30-04-2023,CUST018,Female,47,Electronics,2,25,50,2023,4,April,30
18,19,16-09-2023,CUST019,Female,62,Clothing,2,25,50,2023,9,September,16
19,20,05-11-2023,CUST020,Male,22,Clothing,3,300,900,2023,11,November,5
20,21,14-01-2023,CUST021,Female,50,Beauty,1,500,500,2023,1,January,14
21,22,15-10-2023,CUST022,Male,18,Clothing,2,50,100,2023,10,October,15
22,23,12-04-2023,CUST023,Female,35,Clothing,4,30,120,2023,4,April,12
23,24,29-11-2023,CUST024,Female,49,Clothing,1,300,300,2023,11,November,29
24,25,26-12-2023,CUST025,Female,64,Beauty,1,50,50,2023,12,December,26
25,26,07-10-2023,CUST026,Female,28,Electronics,2,500,1000,2023,10,October,7
26,27,03-08-2023,CUST027,Female,38,Beauty,2,25,50,2023,8,August,3
27,28,23-04-2023,CUST028,Female,43,Beauty,1,500,500,2023,4,April,23
28,29,18-08-2023,CUST029,Female,42,Electronics,1,30,30,2023,8,August,18
29,30,29-10-2023,CUST030,Female,39,Beauty,3,300,900,2023,10,October,29
30,31,23-05-2023,CUST031,Male,44,Electronics,4,300,1200,2023,5,May,23
31,32,04-01-2023,CUST032,Male,30,Beauty,3,30,90,2023,1,January,4
32,33,23-03-2023,CUST033,Female,50,Electronics,2,50,100,2023,3,March,23
33,34,24-12-2023,CUST034,Female,51,Clothing,3,50,150,2023,12,December,24
34,35,05-08-2023,CUST035,Female,58,Beauty,3,300,900,2023,8,August,5
35,36,24-06-2023,CUST036,Male,52,Beauty,3,300,900,2023,6,June,24
36,37,23-05-2023,CUST037,Female,18,Beauty,3,25,75,2023,5,May,23
37,38,21-03-2023,CUST038,Male,38,Beauty,4,50,200,2023,3,March,21
38,39,21-04-2023,CUST039,Male,23,Clothing,4,30,120,2023,4,April,21
39,40,22-06-2023,CUST040,Male,45,Beauty,1,50,50,2023,6,June,22
40,41,22-02-2023,CUST041,Male,34,Clothing,2,25,50,2023,2,February,22
41,42,17-02-2023,CUST042,Male,22,Clothing,3,300,900,2023,2,February,17
42,43,14-07-2023,CUST043,Female,48,Clothing,1,300,300,2023,7,July,14
43,44,19-02-2023,CUST044,Female,22,Clothing,1,25,25,2023,2,February,19
44,45,03-07-2023,CUST045,Female,55,Electronics,1,30,30,2023,7,July,3
45,46,26-06-2023,CUST046,Female,20,Electronics,4,300,1200,2023,6,June,26
46,47,06-11-2023,CUST047,Female,40,Beauty,3,500,1500,2023,11,November,6
47,48,16-05-2023,CUST048,Male,54,Electronics,3,300,900,2023,5,May,16
48,49,23-01-2023,CUST049,Female,54,Electronics,2,500,1000,2023,1,January,23
49,50,24-08-2023,CUST050,Female,27,Beauty,3,25,75,2023,8,August,24
50,51,02-10-2023,CUST051,Male,27,Beauty,3,25,75,2023,10,October,2
51,52,05-03-2023,CUST052,Female,36,Beauty,1,300,300,2023,3,March,5
52,53,13-07-2023,CUST053,Male,34,Electronics,2,50,100,2023,7,July,13
53,54,10-02-2023,CUST054,Female,38,Electronics,3,500,1500,2023,2,February,10
54,55,10-10-2023,CUST055,Male,31,Beauty,4,30,120,2023,10,October,10
55,56,31-05-2023,CUST056,Female,26,Clothing,3,300,900,2023,5,May,31
56,57,18-11-2023,CUST057,Female,63,Beauty,1,30,30,2023,11,November,18
57,58,13-11-2023,CUST058,Male,18,Clothing,4,300,1200,2023,11,November,13
58,59,05-07-2023,CUST059,Male,62,Clothing,1,50,50,2023,7,July,5
59,60,23-10-2023,CUST060,Male,30,Beauty,3,50,150,2023,10,October,23
60,61,09-04-2023,CUST061,Male,21,Beauty,4,50,200,2023,4,April,9
61,62,27-12-2023,CUST062,Male,18,Beauty,2,50,100,2023,12,December,27
62,63,05-02-2023,CUST063,Male,57,Electronics,2,25,50,2023,2,February,5
63,64,24-01-2023,CUST064,Male,49,Clothing,4,25,100,2023,1,January,24
64,65,05-12-2023,CUST065,Male,51,Electronics,4,500,2000,2023,12,December,5
65,66,27-04-2023,CUST066,Female,45,Electronics,1,30,30,2023,4,April,27
66,67,29-05-2023,CUST067,Female,48,Beauty,4,300,1200,2023,5,May,29
67,68,10-02-2023,CUST068,Male,25,Electronics,1,300,300,2023,2,February,10
68,69,30-04-2023,CUST069,Female,56,Beauty,3,25,75,2023,4,April,30
69,70,21-02-2023,CUST070,Female,43,Clothing,1,300,300,2023,2,February,21
70,71,14-07-2023,CUST071,Female,51,Beauty,4,25,100,2023,7,July,14
71,72,23-05-2023,CUST072,Female,20,Electronics,4,500,2000,2023,5,May,23
72,73,21-08-2023,CUST073,Male,29,Electronics,3,30,90,2023,8,August,21
73,74,22-11-2023,CUST074,Female,18,Beauty,4,500,2000,2023,11,November,22
74,75,06-07-2023,CUST075,Male,61,Beauty,4,50,200,2023,7,July,6
75,76,25-03-2023,CUST076,Female,22,Electronics,2,50,100,2023,3,March,25
76,77,09-07-2023,CUST077,Female,47,Clothing,2,50,100,2023,7,July,9
77,78,01-07-2023,CUST078,Female,47,Clothing,3,500,1500,2023,7,July,1
78,79,18-04-2023,CUST079,Male,34,Beauty,1,300,300,2023,4,April,18
79,80,10-12-2023,CUST080,Female,64,Clothing,2,30,60,2023,12,December,10
80,81,17-05-2023,CUST081,Male,40,Electronics,1,50,50,2023,5,May,17
81,82,26-12-2023,CUST082,Female,32,Beauty,4,50,200,2023,12,December,26
82,83,16-12-2023,CUST083,Male,54,Electronics,2,50,100,2023,12,December,16
83,84,28-11-2023,CUST084,Female,38,Electronics,3,30,90,2023,11,November,28
84,85,06-02-2023,CUST085,Male,31,Clothing,3,50,150,2023,2,February,6
85,86,08-11-2023,CUST086,Male,19,Beauty,3,30,90,2023,11,November,8
86,87,22-11-2023,CUST087,Female,28,Beauty,2,50,100,2023,11,November,22
87,88,29-03-2023,CUST088,Male,56,Clothing,1,500,500,2023,3,March,29
88,89,01-10-2023,CUST089,Female,55,Electronics,4,500,2000,2023,10,October,1
89,90,06-05-2023,CUST090,Female,51,Electronics,1,30,30,2023,5,May,6
90,91,25-03-2023,CUST091,Female,55,Electronics,1,500,500,2023,3,March,25
91,92,25-08-2023,CUST092,Female,51,Electronics,4,30,120,2023,8,August,25
92,93,14-07-2023,CUST093,Female,35,Beauty,4,500,2000,2023,7,July,14
93,94,19-05-2023,CUST094,Female,47,Beauty,2,500,1000,2023,5,May,19
94,95,24-11-2023,CUST095,Female,32,Clothing,2,30,60,2023,11,November,24
95,96,19-12-2023,CUST096,Female,44,Clothing,2,300,600,2023,12,December,19
96,97,13-10-2023,CUST097,Female,51,Beauty,2,500,1000,2023,10,October,13
97,98,23-04-2023,CUST098,Female,55,Beauty,2,50,100,2023,4,April,23
98,99,17-12-2023,CUST099,Female,50,Electronics,4,300,1200,2023,12,December,17
99,100,16-06-2023,CUST100,Male,41,Electronics,1,30,30,2023,6,June,16
100,101,29-01-2023,CUST101,Male,32,Clothing,2,300,600,2023,1,January,29
101,102,28-04-2023,CUST102,Female,47,Beauty,2,25,50,2023,4,April,28
102,103,17-01-2023,CUST103,Female,59,Clothing,1,25,25,2023,1,January,17
103,104,11-06-2023,CUST104,Female,34,Beauty,2,500,1000,2023,6,June,11
104,105,25-07-2023,CUST105,Female,22,Electronics,1,500,500,2023,7,July,25
105,106,18-05-2023,CUST106,Female,46,Clothing,1,50,50,2023,5,May,18
106,107,03-02-2023,CUST107,Female,21,Clothing,4,300,1200,2023,2,February,3
107,108,19-04-2023,CUST108,Female,27,Beauty,3,25,75,2023,4,April,19
108,109,18-10-2023,CUST109,Female,34,Electronics,4,500,2000,2023,10,October,18
109,110,11-06-2023,CUST110,Male,27,Clothing,3,300,900,2023,6,June,11
110,111,19-04-2023,CUST111,Female,34,Electronics,3,500,1500,2023,4,April,19
111,112,02-12-2023,CUST112,Male,37,Clothing,3,500,1500,2023,12,December,2
112,113,13-09-2023,CUST113,Female,41,Electronics,2,25,50,2023,9,September,13
